SO2,700_nm,710_nm,717_nm,725_nm,732_nm,740_nm,743_nm,748_nm,751_nm,753_nm,758_nm,763_nm,768_nm,780_nm,792_nm,798_nm,805_nm,815_nm,830_nm,850_nm
0.35,0.09989844557972724,0.09496800480929869,0.0918697528873328,0.08882420046414635,0.08657080772129226,0.08368737815121423,0.08260963994020888,0.08109060129814102,0.0797321199484941,0.07904078212754939,0.07738174738123402,0.07570657166373633,0.07403267232902841,0.07021102625503757,0.06639650480161452,0.06450675191706949,0.06283868055520682,0.0600573743372916,0.057258207680919236,0.05392064560234709
0.4,0.0657372404166944,0.06257414848313224,0.06060281134577978,0.05868709967310062,0.057426190490188385,0.0556826491925981,0.055008533125121176,0.05405337194125045,0.05317491870765254,0.0527225310150818,0.05161807455649048,0.05049658580127034,0.049376306778104735,0.04682040709858311,0.04427336761940974,0.043017509476127105,0.04190342850532872,0.040077938339070716,0.038517238129694494,0.03666885472249881
0.425,0.1287924795518902,0.12238073086589883,0.11834058977086474,0.11435415012090752,0.11130213187404743,0.10748116010465188,0.10606746826809013,0.10407774311474244,0.10231470246158787,0.10142075650021234,0.09928799033957293,0.09713877754585487,0.09499083087420584,0.090085752885201,0.0851882714220056,0.08275716593827637,0.08061516971881966,0.07702335391578798,0.07322545770871043,0.06869028689693177
0.5,0.11663269358478294,0.1108267596164808,0.10716851901469644,0.1035590095968826,0.100803062337393,0.09734538175423588,0.09606466563986402,0.09426107942959124,0.09266265563550635,0.09185153986135274,0.08991570695944229,0.08796495738515675,0.08601513649667608,0.08156263369491876,0.07711917052841868,0.0749121313579767,0.07296778466258909,0.0697102171039829,0.06627583742412656,0.06217775091280061
0.55,0.10215841311454225,0.09709649831427408,0.09391170643867863,0.09077565422490673,0.0884237552399924,0.08543910466746109,0.084327674970306,0.08276135973106305,0.08136637186729828,0.08065714207107554,0.07895921893063752,0.07724637442040994,0.07553451838278315,0.07162589967927474,0.06772574117961944,0.06579071170385077,0.06408431064985864,0.06123389389934846,0.05830592646852315,0.054814745809716056
0.575,0.12638919456541126,0.12012821655368636,0.11618888662508753,0.11231036224662408,0.10936652128937649,0.1056672785676098,0.10429689345142902,0.10237124067450631,0.10065674965030846,0.09978846281110298,0.09771262858787129,0.09561813459572577,0.0935261357559061,0.08874888952052631,0.08396990085543021,0.08160669148386092,0.07952107132463773,0.07602281313778551,0.07238644013444281,0.06803393185478072
0.6,0.11663727394482519,0.11086722733770218,0.1072381136771241,0.10366719120537138,0.10095088272904894,0.09754663779631159,0.09628755820487006,0.09452097288109758,0.09294632906886681,0.09215027629082653,0.09024710947821582,0.08832606249097025,0.08640804691625366,0.0820278929684078,0.07763980067948316,0.07547473880621204,0.07356261004968719,0.07035014956270338,0.06701089636699743,0.06300589532402649
0.65,0.09839172725525744,0.09359074215098388,0.09058404500030111,0.08764363959367259,0.08550010465897633,0.08274570867658608,0.08171572352446496,0.08027165064191034,0.0789656309906387,0.07830412621954418,0.07671010598632258,0.0750956986140501,0.0734852534236075,0.06980834812649125,0.06611744174844894,0.06430803514487105,0.06270412421261647,0.06002258839598554,0.057418636158375246,0.05428952340870722
0.675,0.07158059074620927,0.06810969441360513,0.06594087248434612,0.06382579937777377,0.06236552712321715,0.060412945245954676,0.059668936746785375,0.0586186302179982,0.05766123624368003,0.057171273515858274,0.05598235559920066,0.054776962067103405,0.05357324623428602,0.05082616427775187,0.04808268591618806,0.04673104002128647,0.04553314109643457,0.04355455365175115,0.04175564892648718,0.03961382940376147
0.7,0.11064878556390235,0.10522112132330992,0.10181630627721872,0.09847864015292429,0.09600331078876,0.09285501118844053,0.09168300265043296,0.0900394995054747,0.0885615104389356,0.08781355418488783,0.08601677598431733,0.08419935144304086,0.08238581518846569,0.07824483108960441,0.07409088414755988,0.07204967877501539,0.07024280358005747,0.06721582275737704,0.0641952700785428,0.060567844200104554
0.725,0.10283729310126709,0.09778403844040702,0.09461280122478302,0.0915016027486565,0.0892187944524106,0.08628662951945204,0.08518924586910821,0.08364467867510027,0.0822573283041833,0.08155199632306151,0.07985620501858,0.07814199858967398,0.07642999127314594,0.07252140183784177,0.06861367002470996,0.06668418323262117,0.0649785636196416,0.06213417572963116,0.05931755524674196,0.05595212773371793
0.75,0.1011507072978904,0.09616082900598306,0.09302557601991417,0.08994432226489193,0.08765812419095655,0.08474026388696533,0.08365118205410847,0.08211764534021912,0.08074576550892414,0.08004845292412631,0.07837544721285652,0.07668588980147123,0.07499799881979426,0.07114426231360906,0.06729433216756697,0.06538944042089276,0.06370739990105094,0.06089945083830646,0.058067829847991435,0.05468708318029571
0.775,0.07427111617107955,0.07070205466195087,0.0684781245722193,0.06631836631555664,0.06485940865131193,0.06288652465110899,0.062131797061737264,0.06106906888808866,0.06009104787600834,0.05959125944033988,0.058373438875855485,0.05713591469942101,0.05590133043532155,0.053083949497502,0.05026174183346263,0.048880202733503395,0.04765224660014242,0.045624582030881856,0.04385366017028982,0.04173623255356549
0.8,0.1288846339617781,0.12249362593517406,0.11847117040099812,0.11450907658840563,0.11148697100522119,0.10770189506485045,0.10630196229479608,0.10433556712669678,0.10258676798366584,0.10170176583028266,0.09958767898941412,0.09745506415301873,0.09532505181202379,0.09046080854841758,0.08559361212675651,0.08318685414853227,0.08106313147357043,0.07749737234215279,0.0737656944706109,0.06929706944429168
0.825,0.10218633338717362,0.09717046641813032,0.09402322221779327,0.09093715811893915,0.08863474071603347,0.08571911021890653,0.08463607449282198,0.08311863110516966,0.08175517465905091,0.08106606882760123,0.07941203911152413,0.07773918855931024,0.07607015673988524,0.07225892339812336,0.06843318934124087,0.06655455380781347,0.06489149759909753,0.06210123387275599,0.05929652910216743,0.05592469515313427
0.85,0.1280768936757636,0.1217198074696676,0.1177176858482493,0.11377391987016144,0.11077222449472796,0.10700383698667633,0.10560814150667071,0.10364535116163767,0.10190109182437422,0.10101712074909451,0.09890535580382699,0.09677569829567621,0.09464799897551134,0.08978923740586343,0.08493305632488014,0.0825275946718349,0.08040616460617032,0.07684904188365763,0.07312871913583896,0.06868082588938318
0.875,0.06988554999678218,0.0665022856906697,0.06438951191121065,0.062330573386721204,0.06093537865558972,0.059043254392821994,0.058317583191619476,0.05729050086871408,0.05635229518096266,0.05587038550059352,0.054698542960900785,0.05351021713661447,0.05232303780759774,0.049614085450930996,0.04691394496548108,0.04558082329005223,0.04439965075786082,0.04245674492480521,0.04072714069299439,0.03867560853952406
0.9,0.08567350309999028,0.08152903659046587,0.07894050771921267,0.07641902151043574,0.07462639653133656,0.07228994685410119,0.07141111516075503,0.07018047906801052,0.06905710712723842,0.06848798482227356,0.06711019633785151,0.06571177550500276,0.06431776657990501,0.06113537287918588,0.057934874589625464,0.05637348940942786,0.054985951864179906,0.0526708899749011,0.05051559675164916,0.04791944182732251
0.925,0.10120736300283248,0.09623721738642294,0.09311871783545085,0.09006008860620211,0.08781937113280171,0.08493880461834429,0.08386035658958454,0.08234260317234898,0.08097848624347594,0.08028497939232435,0.07861710976027463,0.07693087448914226,0.07524689375910319,0.07140231477544964,0.0675579907852708,0.06566050605924265,0.0639828742855329,0.061185447850319236,0.05842273214252501,0.055121130532562866
0.95,0.10268418926061325,0.0976407220115176,0.09447579916339187,0.09137147518994586,0.0890734194703455,0.08614367474577961,0.08505148184651978,0.08351777514054523,0.0821400863228738,0.08144177283298412,0.07976436674242732,0.07806834533671352,0.07637534861900509,0.07250976453884997,0.06863720137517185,0.06673031692797488,0.06504349528382244,0.06222168932264767,0.05940458234489896,0.05602800106268671
