SO2,700_nm,710_nm,717_nm,725_nm,732_nm,740_nm,743_nm,748_nm,751_nm,753_nm,758_nm,763_nm,768_nm,780_nm,792_nm,798_nm,805_nm,815_nm,830_nm,850_nm
0.35,0.023026322197939122,0.02306062908920659,0.024522125064895033,0.03028969716268418,0.03898782025895967,0.04693568872504868,0.053395249641781335,0.06558648605446107,0.07203605582635082,0.07633218318742346,0.0884950804126156,0.09134743836801872,0.07343739010038515,0.029739521905499645,0.02542107098004364,0.028276522794710664,0.03256213362310698,0.04330041211322171,0.057754658741583705,0.04646687542161586
0.4,0.027300097527462684,0.027330396993441124,0.029056040119618456,0.035889331806678346,0.04617905850436523,0.05558997351543029,0.06325198459397223,0.07771585135885097,0.0853693201765195,0.09046854105358901,0.1049078779355653,0.10829784388784312,0.08704575748453687,0.03519278735600032,0.030076396170437864,0.033469425798472834,0.03856010762813244,0.051306569096377076,0.0684205449725667,0.054971688286509085
0.425,0.0243619527123433,0.02439340774103099,0.02593630596860184,0.032035987867483566,0.0412274593737603,0.04963035656352831,0.05646602986922664,0.06936863667453201,0.07619532236444088,0.0807432046348398,0.09362013432300056,0.09664182087329794,0.07768547138624687,0.03143427329562991,0.026867485780619083,0.029892212316820013,0.034430912063695106,0.045798876862580634,0.061080189434666546,0.04910716984666656
0.5,0.023379023572650277,0.023421384066254727,0.0249108354033782,0.03077187507770502,0.03962402673225157,0.047705035973165166,0.05426269953653424,0.06663657574627312,0.073181372112636,0.07754000033208724,0.0898779451671469,0.09276763113584545,0.0745891420563784,0.03023731334765695,0.0258463279435303,0.02873921042036232,0.03308344297445649,0.043977097628162196,0.05867414050095678,0.04725888318964566
0.55,0.0269160725709008,0.026960458753370706,0.028671945456070103,0.035416468544438154,0.04559510658575515,0.05489165995263037,0.06244166441017193,0.07668951053822401,0.08422633722908884,0.08924618190646631,0.10345691799583512,0.10678755769605756,0.08585648455677283,0.034788289705463035,0.029737293309541786,0.03307164054548998,0.03807721115243996,0.050623995580585036,0.06753139174955511,0.05436304001725646
0.575,0.024013538422478473,0.02405116119760687,0.025575794844746366,0.03158828066431301,0.04065519237302596,0.04894093304289117,0.05567349577945752,0.06837972654654782,0.07510191017827447,0.07957958787571921,0.09225576329245008,0.0952297484843302,0.07656862055932835,0.03103792434617344,0.026540984076751154,0.0295190411654302,0.03398672143565342,0.04517911096542543,0.06024814435087502,0.048492925489316184
0.6,0.02302142446832442,0.023049284201537505,0.02450539808087937,0.0302661070049941,0.038941393218979124,0.04687585272789665,0.05333346453726005,0.06552329814420943,0.07197349551805135,0.07627090192668864,0.08843895987921926,0.09129646437603033,0.07339049911727633,0.02970155129124734,0.02539233170761601,0.028253170327588607,0.03254389476000537,0.04328627743551343,0.057715626835409664,0.046393249266457846
0.65,0.024548402759384257,0.02458177190422035,0.02613817493970944,0.032287549782822576,0.04155876179511579,0.05003143823291247,0.05692117253987208,0.06992507229945522,0.0768047788243836,0.0813876792858409,0.0943634660593765,0.0974064006521344,0.07829834697906386,0.0316775142953607,0.02707010256657252,0.03011568241276974,0.03468753053084793,0.046142565725896124,0.061550842297533034,0.04949350511247514
0.675,0.02410675921946561,0.024132132574442702,0.025655394547577072,0.03169045385122603,0.040777882430568776,0.04908904651149437,0.05585704895279471,0.0686335169942902,0.07539408300271115,0.07989846238439446,0.09265388758216453,0.09564799344857554,0.07687219441088317,0.03106124096500347,0.026539926633940635,0.029536265490235244,0.0340327419566956,0.04529214652683324,0.060405988856859764,0.04851894153242862
0.7,0.023387763288811887,0.023435304566848152,0.024927424251888753,0.030787195363416026,0.03963913444144456,0.04772004604236699,0.05427238181755824,0.06663519042790184,0.07317415068194301,0.07752861394284112,0.08985298304077272,0.09274111241224155,0.07458945006606355,0.030302699859189527,0.025921545668447527,0.028814514629449228,0.03315565331292593,0.0440393362638232,0.05873696332988526,0.04735897178580798
0.725,0.026879394582227694,0.02690989865297938,0.02860839774924084,0.03533256660385801,0.045454672463076745,0.054714871134730156,0.062254316980980745,0.07648702678541584,0.0840186558898926,0.08903683865722248,0.10324623968731728,0.10658445741839509,0.0856785345565264,0.0346696080790137,0.02964121386447785,0.03298343647244156,0.03799510426512813,0.050539545863558195,0.06737968725635575,0.05414849072099014
