f_blood,f_fat,f_water,f_mel,f_col,SO2,total_ratio,count
0.04699963759921507,0.0,0.7153798690911057,0.0,0.31968234943193685,0.717648915882686,1.0820618561222577,6.0
0.04572836058771389,0.0,0.7275770544595623,0.0,0.1029160610480562,0.6635444461003316,0.8762214760953324,1.0
0.04297617691266667,0.0,0.8325196704121562,0.0,0.10908209691047777,0.7427604083717299,0.9845779442353007,2.0
0.04383774486089813,0.0,0.7128666959047215,0.0,0.13514704521581367,0.7263499350703955,0.8918514859814333,1.0
0.04345348133839666,0.0,0.7658395812949048,0.0,0.25302151298930653,0.6512284102655135,1.062314575622608,3.0
0.03594864128456848,0.0,0.7623220655775236,0.0,0.35001512035292803,0.7366412392631004,1.14828582721502,1.0
0.036643167528817744,0.0,0.83078118789665,0.0,0.13004458952680406,0.749807174901693,0.9974689449522718,1.0
0.04866626332460106,0.0,0.8964469763645246,0.0,0.34620352625165185,0.688151302464195,1.2913167659407776,5.0
0.03790258666302753,0.0,0.8565572461597009,0.0,0.318576635604259,0.7062652621969839,1.2130364684269872,1.0
0.04745262237858964,0.0,0.8157811952889161,0.0,0.3372751676913668,0.7399328422601225,1.2005089853588724,2.0
0.04698608960416118,0.0,0.8061331801532726,0.0,0.20726190671337,0.719097119023571,1.0603811764708038,3.0
0.04608015170404326,0.0,0.9861690761473481,0.0,0.17492565462520215,0.7208518910537132,1.2071748824765933,2.0
0.04770775179088553,0.0,0.8347770075987576,0.0,0.18998130748690262,0.7184340137059907,1.0724660668765458,1.0
0.04079688299950695,0.0,0.8942248377977216,0.0,0.13870891009809405,0.6549447623238204,1.0737306308953225,6.0
0.04256208497268169,0.0,0.7933201896324067,0.0,0.37431876423971355,0.6624411324800731,1.210201038844802,1.0
0.04509734027011641,0.0,0.8613829384208965,0.0,0.16317642454545966,0.6632499638612164,1.0696567032364726,1.0
0.04697461194013487,0.0,0.9499628140948837,0.0,0.12651832188656742,0.6963316120302524,1.1234557479215859,2.0
0.038217166444014544,0.0,0.8126794505670106,0.0,0.35985511465646514,0.7399748627198376,1.2107517316674903,1.0
0.03800303925550376,0.0,0.9992170961146224,0.0,0.10307788045062305,0.7207976117240331,1.1402980158207492,3.0
0.04074369012249299,0.0,0.9374524413691225,0.0,0.12008204287616303,0.6549627355834331,1.0982781743677785,8.0
