700nm,710nm,717nm,725nm,732nm,740nm,743nm,748nm,751nm,753nm,758nm,763nm,768nm,780nm,792nm,798nm,805nm,815nm,830nm,850nm
0.14406957899703376,0.15599257863816762,0.16692199497587362,0.1829186861610615,0.19812051070350714,0.22156907666440367,0.23170362635936742,0.24978684248175373,0.26111369214083086,0.2686649252468823,0.2851584080837841,0.3000621576352014,0.31615820715073206,0.3527220727168758,0.37954882190942696,0.40101022126346786,0.417304987439684,0.43896510345441053,0.48387506876934794,0.5256055675133163
0.1346333733512199,0.14577544562856223,0.1559890118827927,0.17093795885489368,0.18514410100850517,0.2070568431539451,0.21652760458968606,0.23342641421032195,0.24401138287379717,0.2510680286494473,0.26648122863310425,0.28040881897978215,0.2954506165541943,0.3296196382047108,0.35468930082873107,0.3747450309279473,0.38997252970698176,0.4102139610108204,0.45218243325547647,0.4911796862261747
0.12852217963155266,0.13915849794588808,0.1489084564006955,0.1631788501390955,0.17674015598987314,0.19765824867473272,0.2066991192419178,0.2228308686853265,0.23293537108394513,0.2396717060163575,0.2543852796845215,0.26768067757744074,0.2820397073017935,0.31465775013242203,0.33858946633967674,0.35773483930548045,0.37227114100173875,0.3915937859394481,0.4316572515901114,0.4688843656902853
0.13036958462768095,0.1411587916313511,0.15104889805138205,0.16552441744797283,0.17928065637765228,0.2004994301515369,0.20967025610465653,0.2260338867268896,0.23628363338037622,0.24311679781603396,0.25804186750444436,0.27152837625903203,0.28609380571398674,0.3191807071919085,0.3434564229501664,0.36287699555677266,0.37762224512845516,0.3972226378517893,0.4378619842322802,0.4756242087451257
0.1428576893704134,0.15468039469762004,0.16551787458089276,0.1813800042282283,0.19645395352041678,0.21970527399725648,0.2297545735253821,0.2476856766049788,0.2589172466658251,0.26640496003972264,0.28275970240902515,0.29753808406803345,0.3134987362597624,0.34975503259652935,0.3763561195827443,0.39763698917171625,0.4137946864522319,0.43527260112999067,0.47980479119580227,0.5211842598410255
0.13141715878401486,0.14229306157993335,0.15226263914285862,0.1668544753940492,0.1807212514588453,0.20211052695748494,0.21135504433401564,0.227850163574492,0.23818227123061456,0.2450703430013629,0.26011534186905017,0.2737102203639482,0.28839268913843813,0.3217454577125881,0.3462162390034047,0.365792864036058,0.3806565978571465,0.40041448793639844,0.44138038846769134,0.47944604825340603
0.1275086520420684,0.1380610922110672,0.14773416236598272,0.16189201959272273,0.17534638080819615,0.19609951314056037,0.20506908728420933,0.22107362154052412,0.23109843970107297,0.23778165180810548,0.25237919404188713,0.2655697442531356,0.27981553848128393,0.31217635499954677,0.335919345379794,0.35491373768399187,0.3693354059149568,0.38850567222197124,0.42825319685853325,0.4651867374500289
0.1369735291327973,0.14830926947482193,0.15870036478834448,0.1739091497472275,0.18836221868330885,0.21065584135595725,0.22029122064667817,0.23748376016541548,0.24825271349033887,0.2554320157069544,0.2711131231800885,0.28528279860761924,0.30058604806935246,0.3353489851182279,0.36085440088778326,0.3812587335034276,0.39675091197086115,0.41734417359220594,0.46004212888049856,0.49971722007758473
0.14988320117866508,0.1622873281727615,0.1736577779173499,0.19029998163442927,0.20611524355190222,0.23051002664029183,0.2410535345852738,0.25986646052632,0.27165038117071166,0.2795063282669727,0.2966653706088061,0.31217052935142664,0.3289161007934568,0.36695542357535244,0.39486470931206946,0.41719213790144305,0.4341444447933747,0.45667860883265,0.5034008205104131,0.5468152649897506
0.14496966284485566,0.15696715218374027,0.1679648507443845,0.18406148227405467,0.19935828118113255,0.2229533435476056,0.2331512094856575,0.2513474016496325,0.2627450165215729,0.2703434264361998,0.2869399533549902,0.30193681502859593,0.31813342563609015,0.35492572627533625,0.3819200772878267,0.40351555809781897,0.4199121268609612,0.44170756582660164,0.48689810900306696,0.5288893216891631
0.12541443891704998,0.13579356489639208,0.14530776371078896,0.15923309106640623,0.17246647669006737,0.19287875778277344,0.2017010148652142,0.21744268926721633,0.2273028589475913,0.2338763054011746,0.2482340963392645,0.26120800381344206,0.2752198238855538,0.3070491435555362,0.33040217700905583,0.3490846037718716,0.3632694092769724,0.3821248214727772,0.4212195293282989,0.4575464702559962
0.12737206212527175,0.13791319830115634,0.14757590646238383,0.1617185974983623,0.1751585461226151,0.1958894472685214,0.20484941301802326,0.22083680288478152,0.23085088225187186,0.2375269351632654,0.2521088402065724,0.2652852604264281,0.27951579426387224,0.31184194520325154,0.33555950159899184,0.35453354671558407,0.3689397661559596,0.3880894968754833,0.4277944431379817,0.4646884197535777
0.12448241449962599,0.134784407423733,0.1442279009374977,0.1580497414440079,0.1711847824222443,0.19144536850632138,0.2002020624918123,0.2158267517600412,0.22561364503794284,0.23213824055654392,0.24638933076822528,0.259266821923359,0.2731745123709034,0.30476729067149816,0.32794677475073886,0.34649036201413147,0.3605697523437443,0.37928503948920533,0.41808921283667494,0.4541461880710494
0.13987673115679017,0.15145273649390384,0.1620640747195914,0.1775952152135522,0.19235462201837214,0.21512076584802903,0.22496037038457564,0.2425173118125314,0.25351451688278936,0.260845986929628,0.276859460979302,0.29132946765069406,0.3069570748557975,0.3424568245562794,0.36850283656478516,0.3893396461715898,0.4051601867989784,0.4261899298280683,0.4697928832645298,0.5103089019444277
0.12940852629767646,0.14011819743955314,0.14993539598627342,0.16430420476829127,0.17795903547418404,0.19902138871987482,0.20812460919047,0.2243676104223163,0.23454179800709912,0.24132458973028767,0.2561396348098838,0.2695267237372296,0.2839847797787631,0.3168277712805182,0.34092453134974077,0.3602019394051188,0.37483848996568353,0.39429439254009285,0.4346341538411616,0.47211800283773003
0.1410010014229193,0.15267004981654023,0.1633666775106927,0.17902265077213408,0.19390068747400074,0.2168498159814552,0.22676850711603297,0.244466563846358,0.2555521598202979,0.26294255713625775,0.2790847407474334,0.2936710512394595,0.3094242665708477,0.3452093483112852,0.37146470719693225,0.3924689943054499,0.40841669377673173,0.42961546502514314,0.4735688806411152,0.5144105500187884
